ATA,Rank,TotDelay,Date,Weibk,WeibLamb,DelMean,DelStdDev,Var,rho_xy
32,1,215469,01/01/1988,1.573227009,38.5168919,34.58903841,22.47837075,505.2771515,0.006872764
73,2,208081,01/01/1988,1.394030191,48.3712751,44.11652459,32.05665111,1027.62888,0.020100249
34,3,183583,01/01/1988,1.778375895,32.59936082,29.00784624,16.85941519,284.2398806,0.007324939
61,4,167849,01/01/1988,1.531205101,49.90555193,44.94427039,29.94286197,896.5749828,0.014724251
30,5,164729,01/01/1988,1.491147049,43.02432619,38.86820816,26.53471306,704.0909972,0.010506652
24,6,111020,01/01/1988,1.589084683,40.92548262,36.71622879,23.64256454,558.9708582,0.010737083
29,7,107260,01/01/1988,1.452049051,44.10084363,39.97929983,27.97150015,782.4048208,0.014413731
27,8,97466,01/01/1988,1.450195657,42.49167995,38.52730162,26.9874946,728.324865,0.009322054
77,9,83975,01/01/1988,1.608045406,38.06331279,34.1110132,21.72791072,472.1021041,0.011495036
79,10,64837,01/01/1988,1.650312177,40.12530284,35.87999819,22.31957351,498.1633615,0.021759401
