ATA,Rank,TotDelay,Date,Weibk,WeibLamb,DelMean,DelStdDev,,,,Plots,Total Delay [min],Delay Mean [min]
32,1,903743,01/01/1988,1.572627405,38.51919626,34.59241812,22.48842279,,,,,903743,34.59241812
27,2,876582,01/01/1988,1.44859372,42.53036569,38.5682756,27.04385158,,,,,876582,38.5682756
29,3,636217,01/01/1988,1.449973737,44.21501722,40.09070278,28.08659992,,,,,636217,40.09070278
34,4,545650,01/01/1988,1.778514627,32.59149665,29.00072996,16.85408756,,,,,545650,29.00072996
30,5,367146,01/01/1988,1.489658651,43.09388372,38.93587932,26.60540619,,,,,367146,38.93587932
23,6,345902,01/01/1988,2.125537148,29.42193326,26.05713999,12.89534647,,,,,345902,26.05713999
21,7,286191,01/01/1988,1.593122258,37.21042214,33.37527101,21.44136792,,,,,286191,33.37527101
22,8,273884,01/01/1988,1.828606227,33.285243,29.57870282,16.76306418,,,,,273884,29.57870282
73,9,272547,01/01/1988,1.393810738,48.3623383,44.10948113,32.05623064,,,,,272547,44.10948113
28,10,271166,01/01/1988,1.676288942,33.7788765,30.1689985,18.50173987,,,,,271166,30.1689985
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Total Delay,StDev
,,,,,,,,,,,,903743,22.48842279
,,,,,,,,,,,,876582,27.04385158
,,,,,,,,,,,,636217,28.08659992
,,,,,,,,,,,,545650,16.85408756
,,,,,,,,,,,,367146,26.60540619
,,,,,,,,,,,,345902,12.89534647
,,,,,,,,,,,,286191,21.44136792
,,,,,,,,,,,,273884,16.76306418
,,,,,,,,,,,,272547,32.05623064
,,,,,,,,,,,,271166,18.50173987
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Delay Mean,StDev
,,,,,,,,,,,,34.59241812,22.48842279
,,,,,,,,,,,,38.5682756,27.04385158
,,,,,,,,,,,,40.09070278,28.08659992
,,,,,,,,,,,,29.00072996,16.85408756
,,,,,,,,,,,,38.93587932,26.60540619
,,,,,,,,,,,,26.05713999,12.89534647
,,,,,,,,,,,,33.37527101,21.44136792
,,,,,,,,,,,,29.57870282,16.76306418
,,,,,,,,,,,,44.10948113,32.05623064
,,,,,,,,,,,,30.1689985,18.50173987
