"ATA","Rank","Date"
"79","1","01/01/2011"
"26","2","01/01/2011"
"73","3","01/01/2011"
"53","4","01/01/2011"
"29","5","01/01/2011"
"80","6","01/01/2011"
"27","7","01/01/2011"
"72","8","01/01/2011"
"24","9","01/01/2011"
"77","10","01/01/2011"
"72","1","01/07/2011"
"71","2","01/07/2011"
"77","3","01/07/2011"
"36","4","01/07/2011"
"27","5","01/07/2011"
"29","6","01/07/2011"
"32","7","01/07/2011"
"24","8","01/07/2011"
"73","9","01/07/2011"
"31","10","01/07/2011"
"72","1","01/01/2012"
"75","2","01/01/2012"
"35","3","01/01/2012"
"26","4","01/01/2012"
"73","5","01/01/2012"
"77","6","01/01/2012"
"56","7","01/01/2012"
"57","8","01/01/2012"
"36","9","01/01/2012"
"78","10","01/01/2012"
"78","1","01/07/2012"
"32","2","01/07/2012"
"25","3","01/07/2012"
"27","4","01/07/2012"
"29","5","01/07/2012"
"28","6","01/07/2012"
"34","7","01/07/2012"
"36","8","01/07/2012"
"72","9","01/07/2012"
"38","10","01/07/2012"
"57","1","01/01/2013"
"74","2","01/01/2013"
"77","3","01/01/2013"
"71","4","01/01/2013"
"29","5","01/01/2013"
"72","6","01/01/2013"
"25","7","01/01/2013"
"28","8","01/01/2013"
"73","9","01/01/2013"
"32","10","01/01/2013"
"79","1","01/07/2013"
"78","2","01/07/2013"
"27","3","01/07/2013"
"31","4","01/07/2013"
"21","5","01/07/2013"
"24","6","01/07/2013"
"29","7","01/07/2013"
"28","8","01/07/2013"
"36","9","01/07/2013"
"32","10","01/07/2013"
"5","1","01/01/2014"
"71","2","01/01/2014"
"36","3","01/01/2014"
"32","4","01/01/2014"
"52","5","01/01/2014"
"27","6","01/01/2014"
"21","7","01/01/2014"
"28","8","01/01/2014"
"24","9","01/01/2014"
"31","10","01/01/2014"
"26","1","01/07/2014"
"71","2","01/07/2014"
"72","3","01/07/2014"
"38","4","01/07/2014"
"56","5","01/07/2014"
"29","6","01/07/2014"
"27","7","01/07/2014"
"34","8","01/07/2014"
"32","9","01/07/2014"
"21","10","01/07/2014"
"5","1","01/01/2015"
"27","2","01/01/2015"
"21","3","01/01/2015"
"30","4","01/01/2015"
"25","5","01/01/2015"
"29","6","01/01/2015"
"52","7","01/01/2015"
"28","8","01/01/2015"
"22","9","01/01/2015"
"24","10","01/01/2015"
"53","1","01/07/2015"
"79","2","01/07/2015"
"29","3","01/07/2015"
"52","4","01/07/2015"
"32","5","01/07/2015"
"24","6","01/07/2015"
"21","7","01/07/2015"
"49","8","01/07/2015"
"27","9","01/07/2015"
"28","10","01/07/2015"
