"ATA","Rank","Date"
"30","1","01/01/1988"
"73","2","01/01/1988"
"27","3","01/01/1988"
"61","4","01/01/1988"
"34","5","01/01/1988"
"32","6","01/01/1988"
"24","7","01/01/1988"
"77","8","01/01/1988"
"21","9","01/01/1988"
"26","10","01/01/1988"
"73","1","01/01/1989"
"61","2","01/01/1989"
"32","3","01/01/1989"
"30","4","01/01/1989"
"77","5","01/01/1989"
"29","6","01/01/1989"
"34","7","01/01/1989"
"24","8","01/01/1989"
"27","9","01/01/1989"
"21","10","01/01/1989"
"73","1","01/01/1990"
"30","2","01/01/1990"
"32","3","01/01/1990"
"34","4","01/01/1990"
"61","5","01/01/1990"
"29","6","01/01/1990"
"72","7","01/01/1990"
"24","8","01/01/1990"
"27","9","01/01/1990"
"26","10","01/01/1990"
"73","1","01/01/1991"
"32","2","01/01/1991"
"61","3","01/01/1991"
"30","4","01/01/1991"
"34","5","01/01/1991"
"24","6","01/01/1991"
"79","7","01/01/1991"
"72","8","01/01/1991"
"27","9","01/01/1991"
"29","10","01/01/1991"
"73","1","01/01/1992"
"30","2","01/01/1992"
"32","3","01/01/1992"
"61","4","01/01/1992"
"34","5","01/01/1992"
"29","6","01/01/1992"
"24","7","01/01/1992"
"79","8","01/01/1992"
"72","9","01/01/1992"
"27","10","01/01/1992"
"73","1","01/01/1993"
"32","2","01/01/1993"
"30","3","01/01/1993"
"34","4","01/01/1993"
"61","5","01/01/1993"
"29","6","01/01/1993"
"21","7","01/01/1993"
"79","8","01/01/1993"
"27","9","01/01/1993"
"24","10","01/01/1993"
"73","1","01/01/1994"
"32","2","01/01/1994"
"34","3","01/01/1994"
"30","4","01/01/1994"
"61","5","01/01/1994"
"29","6","01/01/1994"
"24","7","01/01/1994"
"28","8","01/01/1994"
"77","9","01/01/1994"
"79","10","01/01/1994"
"30","1","01/01/1995"
"73","2","01/01/1995"
"32","3","01/01/1995"
"61","4","01/01/1995"
"24","5","01/01/1995"
"34","6","01/01/1995"
"27","7","01/01/1995"
"29","8","01/01/1995"
"77","9","01/01/1995"
"56","10","01/01/1995"
"30","1","01/01/1996"
"73","2","01/01/1996"
"32","3","01/01/1996"
"61","4","01/01/1996"
"24","5","01/01/1996"
"34","6","01/01/1996"
"29","7","01/01/1996"
"27","8","01/01/1996"
"79","9","01/01/1996"
"72","10","01/01/1996"
"73","1","01/01/1997"
"30","2","01/01/1997"
"32","3","01/01/1997"
"61","4","01/01/1997"
"34","5","01/01/1997"
"29","6","01/01/1997"
"27","7","01/01/1997"
"79","8","01/01/1997"
"72","9","01/01/1997"
"24","10","01/01/1997"
"73","1","01/01/1998"
"30","2","01/01/1998"
"32","3","01/01/1998"
"61","4","01/01/1998"
"27","5","01/01/1998"
"29","6","01/01/1998"
"34","7","01/01/1998"
"24","8","01/01/1998"
"77","9","01/01/1998"
"72","10","01/01/1998"
"30","1","01/01/1999"
"32","2","01/01/1999"
"73","3","01/01/1999"
"34","4","01/01/1999"
"24","5","01/01/1999"
"27","6","01/01/1999"
"61","7","01/01/1999"
"29","8","01/01/1999"
"77","9","01/01/1999"
"56","10","01/01/1999"
"32","1","01/01/2000"
"30","2","01/01/2000"
"61","3","01/01/2000"
"73","4","01/01/2000"
"34","5","01/01/2000"
"29","6","01/01/2000"
"27","7","01/01/2000"
"24","8","01/01/2000"
"56","9","01/01/2000"
"77","10","01/01/2000"
"34","1","01/01/2001"
"32","2","01/01/2001"
"73","3","01/01/2001"
"30","4","01/01/2001"
"61","5","01/01/2001"
"27","6","01/01/2001"
"29","7","01/01/2001"
"24","8","01/01/2001"
"77","9","01/01/2001"
"21","10","01/01/2001"
"61","1","01/01/2002"
"32","2","01/01/2002"
"34","3","01/01/2002"
"30","4","01/01/2002"
"73","5","01/01/2002"
"77","6","01/01/2002"
"24","7","01/01/2002"
"29","8","01/01/2002"
"27","9","01/01/2002"
"56","10","01/01/2002"
"32","1","01/01/2003"
"61","2","01/01/2003"
"30","3","01/01/2003"
"27","4","01/01/2003"
"73","5","01/01/2003"
"34","6","01/01/2003"
"24","7","01/01/2003"
"29","8","01/01/2003"
"77","9","01/01/2003"
"22","10","01/01/2003"
"61","1","01/01/2004"
"32","2","01/01/2004"
"34","3","01/01/2004"
"30","4","01/01/2004"
"24","5","01/01/2004"
"27","6","01/01/2004"
"73","7","01/01/2004"
"72","8","01/01/2004"
"29","9","01/01/2004"
"77","10","01/01/2004"
"32","1","01/01/2005"
"61","2","01/01/2005"
"34","3","01/01/2005"
"27","4","01/01/2005"
"30","5","01/01/2005"
"29","6","01/01/2005"
"77","7","01/01/2005"
"24","8","01/01/2005"
"73","9","01/01/2005"
"28","10","01/01/2005"
"61","1","01/01/2006"
"30","2","01/01/2006"
"32","3","01/01/2006"
"34","4","01/01/2006"
"77","5","01/01/2006"
"73","6","01/01/2006"
"72","7","01/01/2006"
"27","8","01/01/2006"
"24","9","01/01/2006"
"56","10","01/01/2006"
"30","1","01/01/2007"
"32","2","01/01/2007"
"34","3","01/01/2007"
"61","4","01/01/2007"
"27","5","01/01/2007"
"73","6","01/01/2007"
"77","7","01/01/2007"
"79","8","01/01/2007"
"24","9","01/01/2007"
"28","10","01/01/2007"
"30","1","01/01/2008"
"32","2","01/01/2008"
"34","3","01/01/2008"
"61","4","01/01/2008"
"24","5","01/01/2008"
"73","6","01/01/2008"
"29","7","01/01/2008"
"27","8","01/01/2008"
"77","9","01/01/2008"
"56","10","01/01/2008"
"32","1","01/01/2009"
"34","2","01/01/2009"
"24","3","01/01/2009"
"61","4","01/01/2009"
"77","5","01/01/2009"
"73","6","01/01/2009"
"27","7","01/01/2009"
"29","8","01/01/2009"
"30","9","01/01/2009"
"56","10","01/01/2009"
"30","1","01/01/2010"
"73","2","01/01/2010"
"32","3","01/01/2010"
"34","4","01/01/2010"
"61","5","01/01/2010"
"29","6","01/01/2010"
"27","7","01/01/2010"
"72","8","01/01/2010"
"77","9","01/01/2010"
"56","10","01/01/2010"
"24","1","01/01/2011"
"34","2","01/01/2011"
"27","3","01/01/2011"
"30","4","01/01/2011"
"32","5","01/01/2011"
"73","6","01/01/2011"
"56","7","01/01/2011"
"61","8","01/01/2011"
"29","9","01/01/2011"
"23","10","01/01/2011"
"32","1","01/01/2012"
"34","2","01/01/2012"
"61","3","01/01/2012"
"72","4","01/01/2012"
"30","5","01/01/2012"
"73","6","01/01/2012"
"28","7","01/01/2012"
"56","8","01/01/2012"
"21","9","01/01/2012"
"24","10","01/01/2012"
"32","1","01/01/2013"
"34","2","01/01/2013"
"29","3","01/01/2013"
"24","4","01/01/2013"
"27","5","01/01/2013"
"73","6","01/01/2013"
"30","7","01/01/2013"
"61","8","01/01/2013"
"52","9","01/01/2013"
"76","10","01/01/2013"
"61","1","01/01/2014"
"34","2","01/01/2014"
"29","3","01/01/2014"
"32","4","01/01/2014"
"73","5","01/01/2014"
"24","6","01/01/2014"
"27","7","01/01/2014"
"76","8","01/01/2014"
"30","9","01/01/2014"
"71","10","01/01/2014"
"34","1","01/01/2015"
"56","2","01/01/2015"
"61","3","01/01/2015"
"24","4","01/01/2015"
"29","5","01/01/2015"
"73","6","01/01/2015"
"23","7","01/01/2015"
"27","8","01/01/2015"
"30","9","01/01/2015"
"77","10","01/01/2015"
