"ATA","Rank","Year"
"3428","1","01/01/2014"
"5611","2","01/01/2014"
"3611","3","01/01/2014"
"500","4","01/01/2014"
"4910","5","01/01/2014"
"2211","6","01/01/2014"
"3231","7","01/01/2014"
"3411","8","01/01/2014"
"3141","9","01/01/2014"
"3011","10","01/01/2014"
"3242","1","01/04/2014"
"4910","2","01/04/2014"
"2755","3","01/04/2014"
"2735","4","01/04/2014"
"2763","5","01/04/2014"
"3441","6","01/04/2014"
"2211","7","01/04/2014"
"3442","8","01/04/2014"
"3611","9","01/04/2014"
"7311","10","01/04/2014"
"3241","1","01/07/2014"
"2211","2","01/07/2014"
"4953","3","01/07/2014"
"7300","4","01/07/2014"
"3242","5","01/07/2014"
"3611","6","01/07/2014"
"2131","7","01/07/2014"
"5613","8","01/07/2014"
"2521","9","01/07/2014"
"2221","10","01/07/2014"
"7830","1","01/10/2014"
"2211","2","01/10/2014"
"2811","3","01/10/2014"
"7700","4","01/10/2014"
"500","5","01/10/2014"
"3011","6","01/10/2014"
"3245","7","01/10/2014"
"2121","8","01/10/2014"
"7200","9","01/10/2014"
"3242","10","01/10/2014"
"3611","1","01/01/2015"
"2756","2","01/01/2015"
"3021","3","01/01/2015"
"2211","4","01/01/2015"
"3011","5","01/01/2015"
"3428","6","01/01/2015"
"7532","7","01/01/2015"
"7311","8","01/01/2015"
"2765","9","01/01/2015"
"3242","10","01/01/2015"
"3611","1","01/04/2015"
"5613","2","01/04/2015"
"2131","3","01/04/2015"
"3232","4","01/04/2015"
"7832","5","01/04/2015"
"2841","6","01/04/2015"
"7741","7","01/04/2015"
"7421","8","01/04/2015"
"2221","9","01/04/2015"
"2822","10","01/04/2015"
"3611","1","01/07/2015"
"7421","2","01/07/2015"
"2151","3","01/07/2015"
"2100","4","01/07/2015"
"7311","5","01/07/2015"
"7100","6","01/07/2015"
"3021","7","01/07/2015"
"2900","8","01/07/2015"
"3241","9","01/07/2015"
"2221","10","01/07/2015"
"2211","1","01/10/2015"
"3400","2","01/10/2015"
"3232","3","01/10/2015"
"3011","4","01/10/2015"
"2722","5","01/10/2015"
"2312","6","01/10/2015"
"3241","7","01/10/2015"
"2131","8","01/10/2015"
"2811","9","01/10/2015"
"3344","10","01/10/2015"
