"ATA","Rank","Date"
"34","1","01/01/2014"
"28","2","01/01/2014"
"27","3","01/01/2014"
"32","4","01/01/2014"
"22","5","01/01/2014"
"78","6","01/01/2014"
"31","7","01/01/2014"
"77","8","01/01/2014"
"25","9","01/01/2014"
"29","10","01/01/2014"
"27","1","01/04/2014"
"34","2","01/04/2014"
"28","3","01/04/2014"
"52","4","01/04/2014"
"21","5","01/04/2014"
"77","6","01/04/2014"
"24","7","01/04/2014"
"32","8","01/04/2014"
"31","9","01/04/2014"
"29","10","01/04/2014"
"34","1","01/07/2014"
"27","2","01/07/2014"
"32","3","01/07/2014"
"28","4","01/07/2014"
"22","5","01/07/2014"
"52","6","01/07/2014"
"78","7","01/07/2014"
"21","8","01/07/2014"
"73","9","01/07/2014"
"36","10","01/07/2014"
"25","1","01/10/2014"
"32","2","01/10/2014"
"24","3","01/10/2014"
"28","4","01/10/2014"
"22","5","01/10/2014"
"49","6","01/10/2014"
"52","7","01/10/2014"
"21","8","01/10/2014"
"23","9","01/10/2014"
"36","10","01/10/2014"
"27","1","01/01/2015"
"22","2","01/01/2015"
"49","3","01/01/2015"
"36","4","01/01/2015"
"31","5","01/01/2015"
"32","6","01/01/2015"
"24","7","01/01/2015"
"79","8","01/01/2015"
"34","9","01/01/2015"
"29","10","01/01/2015"
"78","1","01/04/2015"
"32","2","01/04/2015"
"27","3","01/04/2015"
"34","4","01/04/2015"
"52","5","01/04/2015"
"36","6","01/04/2015"
"56","7","01/04/2015"
"57","8","01/04/2015"
"49","9","01/04/2015"
"28","10","01/04/2015"
"28","1","01/07/2015"
"32","2","01/07/2015"
"38","3","01/07/2015"
"36","4","01/07/2015"
"34","5","01/07/2015"
"22","6","01/07/2015"
"27","7","01/07/2015"
"52","8","01/07/2015"
"49","9","01/07/2015"
"33","10","01/07/2015"
"27","1","01/10/2015"
"34","2","01/10/2015"
"22","3","01/10/2015"
"32","4","01/10/2015"
"30","5","01/10/2015"
"36","6","01/10/2015"
"52","7","01/10/2015"
"21","8","01/10/2015"
"33","9","01/10/2015"
"28","10","01/10/2015"
